publication_ID	last_name	first_name	first_name_abbr	extra	position	h_index_real	updated_at
250020	Verderi		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Clark		P. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Gradl		W.			-1	2023-01-06 17:11:05.425728+00:00
250020	Muheim		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Playfer		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Robertson		A. I.			-1	2023-01-06 17:11:05.425728+00:00
250020	Xie		Y.			-1	2023-01-06 17:11:05.425728+00:00
250020	Andreotti		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bettoni		D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bozzi		C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Calabrese		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Cecchi		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Cibinetto		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Franchini		P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Luppi		E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Negrini		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Petrella		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Piemontese		L.			-1	2023-01-06 17:11:05.425728+00:00
250020	Prencipe		E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Santoro		V.			-1	2023-01-06 17:11:05.425728+00:00
250020	Anulli		F.			-1	2023-01-06 17:11:05.425728+00:00
250020	Baldini-Ferroli		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Calcaterra		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	De Sangro		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Finocchiaro		G.			-1	2023-01-06 17:11:05.425728+00:00
250020	Pacetti		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Patteri		P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Peruzzi		I. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Piccolo		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Rama		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Zallo		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Buzzo		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Contri		R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Lo Vetere		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Macri		M. M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Monge		M. R.			-1	2023-01-06 17:11:05.425728+00:00
250020	Passaggio		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Patrignani		C.			-1	2023-01-06 17:11:05.425728+00:00
250020	Robutti		E.			-1	2023-01-06 17:11:05.425728+00:00
250020	Santroni		A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Tosi		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Chaisanguanthum		K. S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Morii		M.			-1	2023-01-06 17:11:05.425728+00:00
250020	Wu		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Dubitzky		R. S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Marks		J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Schenk		S.			-1	2023-01-06 17:11:05.425728+00:00
250020	Uwer		U.			-1	2023-01-06 17:11:05.425728+00:00
250020	Bard		D. J.			-1	2023-01-06 17:11:05.425728+00:00
250020	Dauncey		P. D.			-1	2023-01-06 17:11:05.425728+00:00
250020	Flack		R. L.			-1	2023-01-06 17:11:05.425728+00:00
250020	Nash		J. A.			-1	2023-01-06 17:11:05.425728+00:00
250020	Nikolich		M. B.			-1	2023-01-06 17:11:05.425728+00:00
250020	Vazquez	W. Panduro	W. P.			-1	2023-01-06 17:11:05.425728+00:00
250020	Behera		P. K.			-1	2023-01-06 17:11:05.425728+00:00
250020	Chai		X.			-1	2023-01-06 17:11:05.425728+00:00
